ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
634668152,Audio,Eastern Phoebe,Sayornis phoebe,,,Paul Beerman,4/28/25,2025,4,28,558,United States,US-NC-067,North Carolina,Forsyth,"5065 Williams Rd, Lewisville US-NC 36.08328, -80.50807",36.083277,-80.508068,,,Unspecified,FALSE,FALSE,,,,,,,S230397695,,,,,,Sayornis phoebe,easpho,Species,17007,,4,1,,,
632567619,Audio,Eastern Phoebe,Sayornis phoebe,,,Steve Scordino,3/20/25,2025,3,20,943,United States,US-NC-135,North Carolina,Orange,Brumley Nature Preserve--North,36.03391,-79.041909,,,Unspecified,FALSE,FALSE,,,,,,,S219600156,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
632371372,Audio,Eastern Phoebe,Sayornis phoebe,,,Alicia Williams,3/19/25,2025,3,19,945,United States,US-NC-081,North Carolina,Guilford,Keeley Park,36.1118775,-79.7124,,,Unspecified,FALSE,FALSE,,,,,,,S219505596,,,,,,Sayornis phoebe,easpho,Species,17007,,0,0,,,
627552902,Audio,Eastern Phoebe,Sayornis phoebe,,,Karen 🦉 Szafrajda,11/29/24,2024,11,29,834,United States,US-NC-085,North Carolina,Harnett,Home To Trail Back,35.2883587,-79.0287493,,,Unspecified,FALSE,FALSE,,,,,,,S203956267,,,,,,Sayornis phoebe,easpho,Species,17007,,4,2,,,
627399138,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/9/24,2024,12,9,732,United States,US-NC-137,North Carolina,Pamlico,Bent Tree Rd,35.051608,-76.677469,,,Unspecified,FALSE,FALSE,,,,,,,S204923721,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
627398857,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/9/24,2024,12,9,1015,United States,US-NC-137,North Carolina,Pamlico,Bent Tree/Straight/White Farm,35.0534323,-76.6839802,,,Unspecified,FALSE,FALSE,,,,,,,S204936082,,,,,,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
627398738,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/9/24,2024,12,9,1015,United States,US-NC-137,North Carolina,Pamlico,Bent Tree/Straight/White Farm,35.0534323,-76.6839802,,,Unspecified,FALSE,FALSE,,,,,,,S204936082,,,,,,Sayornis phoebe,easpho,Species,17007,,5,2,,,
627398318,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/10/24,2024,12,10,742,United States,US-NC-137,North Carolina,Pamlico,Bent Tree Rd,35.051608,-76.677469,,,Unspecified,FALSE,FALSE,,,,,,,S205034217,,,,crows in background,,Sayornis phoebe,easpho,Species,17007,,4.5,2,,,
627397266,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/10/24,2024,12,10,1008,United States,US-NC-137,North Carolina,Pamlico,Bent Tree/Straight/White Farm,35.0534323,-76.6839802,,,Unspecified,FALSE,FALSE,,,,,,,S205014310,,,,crows in background,,Sayornis phoebe,easpho,Species,17007,,3.5,2,,,
627364658,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/7/24,2024,12,7,1424,United States,US-NC-137,North Carolina,Pamlico,Bent Tree/Straight/White Farm,35.0534323,-76.6839802,,,Unspecified,FALSE,FALSE,,,,,,,S204732789,,,,,,Sayornis phoebe,easpho,Species,17007,,2,2,,,
627259618,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/8/24,2024,12,8,818,United States,US-NC-137,North Carolina,Pamlico,Bent Tree Rd,35.051608,-76.677469,,,Unspecified,FALSE,FALSE,,,,,,,S204813696,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
625195033,Audio,Eastern Phoebe,Sayornis phoebe,,,Paul Doshkov,10/20/24,2024,10,20,650,United States,US-NC-055,North Carolina,Dare,TNC 2023,35.99265,-75.66456,,,Unspecified,FALSE,FALSE,,,,,,,S199586477,,,,,,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
624770930,Audio,Eastern Phoebe,Sayornis phoebe,,,Shayla Lackey,10/10/24,2024,10,10,1253,United States,US-NC-159,North Carolina,Rowan,Catawba College Campus,35.6908289,-80.4845173,,,Unspecified,FALSE,FALSE,,,,,,,S198237328,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
624301888,Audio,Eastern Phoebe,Sayornis phoebe,,,Joe Poston,9/29/24,2024,9,29,727,United States,US-NC-159,North Carolina,Rowan,Catawba College Campus,35.6908289,-80.4845173,,,Unspecified,FALSE,FALSE,,,,,,,S196868736,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
624146790,Audio,Eastern Phoebe,Sayornis phoebe,,,Mark Montazer,9/24/24,2024,9,24,1530,United States,US-NC-037,North Carolina,Chatham,SDR North & Beaver Pond (Private),35.7543493,-79.2078762,,,Unspecified,FALSE,FALSE,,,,,,,S196408583,,,,,,Sayornis phoebe,easpho,Species,17007,,5,2,,,
623943170,Audio,Eastern Phoebe,Sayornis phoebe,,,LynnErla Beegle,9/20/24,2024,9,20,800,United States,US-NC-183,North Carolina,Wake,Lake Lynn,35.8820127,-78.7001324,Unknown – 1,Call; Song,Unspecified,,,,,Canon PowerShot SX620HS,,,,S195779325,,,,"The song, heard once, is followed by a strange call series. The bird made these odd calls several times, but talking pedestrians made it difficult to get a longer recording. Lots of background noise from insects, too. ",,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
623782380,Audio,Eastern Phoebe,Sayornis phoebe,,,Anonymous,9/15/24,2024,9,15,1349,United States,US-NC-089,North Carolina,Henderson,Jackson Park,35.3217702,-82.4483866,,,Unspecified,FALSE,FALSE,,,,,,,S195269713,,,,,,Sayornis phoebe,easpho,Species,17007,,4,3,,,
623712514,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,9/13/24,2024,9,13,758,United States,US-NC-189,North Carolina,Watauga,"15 Flannery Fork Rd, Blowing Rock US-NC 36.17013, -81.68619",36.170128,-81.686188,,,Unspecified,FALSE,FALSE,,,,,,,S194933015,,,,,,Sayornis phoebe,easpho,Species,17007,,1,2,,,
623640593,Audio,Eastern Phoebe,Sayornis phoebe,Corvus brachyrhynchos -- American Crow,,LynnErla Beegle,9/12/24,2024,9,12,745,United States,US-NC-183,North Carolina,Wake,Lake Lynn,35.8820127,-78.7001324,Unknown – 1,Call,Unspecified,,,,,Canon PowerShot SX620HS,,,,S194824902,,,,"This rather odd call from an Eastern Phoebe might be from a young bird, as an adult EAPH was foraging nearby. Annoying airplane noise could not be avoided. ",,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
620883606,Audio,Eastern Phoebe,Sayornis phoebe,,,David Walters,6/26/24,2024,6,26,1311,United States,US-NC-081,North Carolina,Guilford,Lake Daniel Park,36.0796648,-79.807654,,,Unspecified,FALSE,FALSE,,,,,,,S183894117,,,,,,Sayornis phoebe,easpho,Species,17007,,4.5,2,,,
619772980,Audio,Eastern Phoebe,Sayornis phoebe,,,Bill Tollefson,5/21/24,2024,5,21,942,United States,US-NC-183,North Carolina,Wake,Crabtree Creek Wetland--West of Raleigh Blvd.,35.8068028,-78.6070436,Adult – 1,Song,Not Used,,,,,,,,,S176157806,,,,,,Sayornis phoebe,easpho,Species,17007,,4.5,2,,,
619739789,Audio,Eastern Phoebe,Sayornis phoebe,,,Christine Stoughton Root,5/28/24,2024,5,28,643,United States,US-NC-013,North Carolina,Beaufort,"2597–2691 Taylor Rd, Chocowinity US-NC 35.51708, -77.13951",35.517079,-77.139513,,,Unspecified,FALSE,FALSE,,,,,,,S177822899,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
619416454,Audio,Eastern Phoebe,Sayornis phoebe,,,Mark Montazer,5/21/24,2024,5,21,1600,United States,US-NC-037,North Carolina,Chatham,SDR North & Beaver Pond (Private),35.7543493,-79.2078762,,,Unspecified,FALSE,FALSE,,,,,,,S176253377,,,,,,Sayornis phoebe,easpho,Species,17007,,4.5,2,,,
618678846,Audio,Eastern Phoebe,Sayornis phoebe,,,Robert Russo,4/26/24,2024,4,26,1100,United States,US-NC-003,North Carolina,Alexander,Rocky Face Mountain Recreational Area,35.9636786,-81.1192581,,,Unspecified,FALSE,FALSE,,,,,,,S172873485,,,,,,Sayornis phoebe,easpho,Species,17007,,2,2,,,
616589513,Audio,Eastern Phoebe,Sayornis phoebe,,,John Frazier,3/28/24,2024,3,28,913,United States,US-NC-011,North Carolina,Avery,Land Harbor Lake,36.0385315,-81.8921113,,,Unspecified,FALSE,FALSE,,,,,,,S166244057,,,,,,Sayornis phoebe,easpho,Species,17007,,2,1,,,
616029863,Audio,Eastern Phoebe,Sayornis phoebe,,,John Frazier,3/14/24,2024,3,14,841,United States,US-NC-011,North Carolina,Avery,Land Harbor Lake,36.0385315,-81.8921113,,,Unspecified,FALSE,FALSE,,,,,,,S164793061,,,,,,Sayornis phoebe,easpho,Species,17007,,1,1,,,
615862133,Audio,Eastern Phoebe,Sayornis phoebe,Branta canadensis -- Canada Goose; Haemorhous mexicanus -- House Finch; Melospiza melodia -- Song Sparrow,,Michael Plauché,3/10/24,2024,3,10,856,United States,US-NC-175,North Carolina,Transylvania,Ecusta Pond (private),35.2580992,-82.6941479,,,Unspecified,FALSE,FALSE,,,,,,,S164300430,,,,,,Sayornis phoebe,easpho,Species,17007,,3.5,2,,,
615839637,Audio,Eastern Phoebe,Sayornis phoebe,,,Kate W,2/24/24,2024,2,24,1217,United States,US-NC-119,North Carolina,Mecklenburg,Cameron Wood area,35.103255,-80.854619,,,Unspecified,FALSE,FALSE,,,,,,,S164254899,,,,,ID by sight and sound,Sayornis phoebe,easpho,Species,17007,,2,1,,,
615554928,Audio,Eastern Phoebe,Sayornis phoebe,,,Jeffrey Blalock,3/2/24,2024,3,2,805,United States,US-NC-033,North Carolina,Caswell,R. Wayne Bailey Caswell Game Land,36.4529587,-79.2067972,,,Unspecified,FALSE,FALSE,,,,,,,S163432211,,,,,,Sayornis phoebe,easpho,Species,17007,,3,1,,,
615532317,Audio,Eastern Phoebe,Sayornis phoebe,,,Alicia Williams,3/2/24,2024,3,2,630,United States,US-NC-081,North Carolina,Guilford,The Coop,36.2034826,-79.8772222,,,Unspecified,FALSE,FALSE,,,,,,,S163411141,,,,,,Sayornis phoebe,easpho,Species,17007,,1,1,,,
613610689,Audio,Eastern Phoebe,Sayornis phoebe,,,Mark Montazer,1/16/24,2024,1,16,808,United States,US-NC-037,North Carolina,Chatham,SDR North & Beaver Pond (Private),35.7543493,-79.2078762,,,Unspecified,FALSE,FALSE,,,,,,,S159074673,,,,,,Sayornis phoebe,easpho,Species,17007,,1.5,2,,,
611986229,Audio,Eastern Phoebe,Sayornis phoebe,,,sheryl mcnair,12/7/23,2023,12,7,1002,United States,US-NC-137,North Carolina,Pamlico,Bent Tree/Straight/White Farm,35.0534323,-76.6839802,,,Unspecified,FALSE,FALSE,,,,,,,S155897323,,,,,,Sayornis phoebe,easpho,Species,17007,,2,2,,,
611660878,Audio,Eastern Phoebe,Sayornis phoebe,,,Bird Smith,9/30/23,2023,9,30,903,United States,US-NC-099,North Carolina,Jackson,Hilltop Fields Lake Toxaway,35.149003,-82.982693,,,Unspecified,FALSE,FALSE,,,,,,,S151148195,,,,,,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
611512702,Audio,Eastern Phoebe,Sayornis phoebe,,,Bird Smith,10/10/23,2023,10,10,808,United States,US-NC-175,North Carolina,Transylvania,Brevard Airport Trails,35.222516,-82.728552,,,Unspecified,FALSE,FALSE,,,,,,,S151997757,,,,,,Sayornis phoebe,easpho,Species,17007,,3.5,2,,,
611460471,Audio,Eastern Phoebe,Sayornis phoebe,,,Bird Smith,9/4/23,2023,9,4,859,United States,US-NC-175,North Carolina,Transylvania,Gorges SP,35.0972291,-82.9454041,,,Unspecified,FALSE,FALSE,,,,,,,S148986556,,,,,,Sayornis phoebe,easpho,Species,17007,,1.5,2,,,
611460390,Audio,Eastern Phoebe,Sayornis phoebe,,,Bird Smith,9/4/23,2023,9,4,859,United States,US-NC-175,North Carolina,Transylvania,Gorges SP,35.0972291,-82.9454041,,,Unspecified,FALSE,FALSE,,,,,,,S148986556,,,,,,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
611329216,Audio,Eastern Phoebe,Sayornis phoebe,,,kenneth lipshy,11/12/23,2023,11,12,1620,United States,US-NC-159,North Carolina,Rowan,"Oddie Farms Sunflower Fields area: Oddie, Stokes Ferry and fish pond Roads",35.6170138,-80.3955737,,,Unspecified,FALSE,FALSE,,,,,,,S154331948,,,,,,Sayornis phoebe,easpho,Species,17007,,4,2,,,
611051005,Audio,Eastern Phoebe,Sayornis phoebe,,,kenneth lipshy,11/12/23,2023,11,12,819,United States,US-NC-159,North Carolina,Rowan,"Oddie Farms Sunflower Fields area: Oddie, Stokes Ferry and fish pond Roads",35.6170138,-80.3955737,,,Unspecified,FALSE,FALSE,,,,,,,S154288941,,,,,,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
611051006,Audio,Eastern Phoebe,Sayornis phoebe,,,kenneth lipshy,11/12/23,2023,11,12,819,United States,US-NC-159,North Carolina,Rowan,"Oddie Farms Sunflower Fields area: Oddie, Stokes Ferry and fish pond Roads",35.6170138,-80.3955737,,,Unspecified,FALSE,FALSE,,,,,,,S154288941,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
610326681,Audio,Eastern Phoebe,Sayornis phoebe,,,Greg Hudson,10/23/23,2023,10,23,900,United States,US-NC-119,North Carolina,Mecklenburg,Six Mile Creek Greenway,35.0111936,-80.829742,Adult Male – 1,Song,Unspecified,,,,,,,,,S152979255,,,,About 20 feet away on tree branch.,,Sayornis phoebe,easpho,Species,17007,,5,2,,,
610132127,Audio,Eastern Phoebe,Sayornis phoebe,Cardinalis cardinalis -- Northern Cardinal; Melanerpes carolinus -- Red-bellied Woodpecker,,LynnErla Beegle,10/16/23,2023,10,16,715,United States,US-NC-183,North Carolina,Wake,Lake Lynn,35.8820127,-78.7001324,Adult – 1,Song,Not Used,,,,,Canon PowerShot SX620 HS,,,,S152379831,,,,"13 songs, close by. another EAPH answers in the distance and there are calls by NOCA and RBWO. ",Several singing,Sayornis phoebe,easpho,Species,17007,,3.5,2,,,
590300061,Audio,Eastern Phoebe,Sayornis phoebe,Hylocichla mustelina -- Wood Thrush,,Rob Bierregaard,6/11/23,2023,6,11,831,United States,US-NC-099,North Carolina,Jackson,Holly Berry Lake,35.066553,-83.119691,Adult – 1,Call,Not Used,,,,,Tascam HD-P2,Wildtronics WTPMM,parabola,,S141356236,,,,,,Sayornis phoebe,easpho,Species,17007,,3.33,3,,,
585656821,Audio,Eastern Phoebe,Sayornis phoebe,,,Alex Trifunovic,3/28/23,2023,3,28,822,United States,US-NC-011,North Carolina,Avery,LMC--Athletic Complex,36.1551881,-81.869526,,,Unspecified,FALSE,FALSE,,,,,,,S132040868,,,,,,Sayornis phoebe,easpho,Species,17007,,3.33,3,,,
584921701,Audio,Eastern Phoebe,Sayornis phoebe,Dryobates pubescens -- Downy Woodpecker,,LynnErla Beegle,6/13/23,2023,6,13,636,United States,US-NC-183,North Carolina,Wake,Shelley Lake,35.8597352,-78.6626673,Adult – 1,Song,Not Used,,,,,"Canon SX620 HS plus OcenAudio, -3 dB Normalization",,,,S141423650,,,,,,Sayornis phoebe,easpho,Species,17007,,3.33,3,,,
576824871,Audio,Eastern Phoebe,Sayornis phoebe,Cardinalis cardinalis -- Northern Cardinal; Melospiza melodia -- Song Sparrow; Baeolophus bicolor -- Tufted Titmouse,,Margaret Viens,5/20/23,2023,5,20,650,United States,US-NC-063,North Carolina,Durham,"Hyattplace, NC-751, Durham",35.900678,-78.961058,Adult – 1,Song,Not Used,,,,,iPhone 13,none,none,,S138479346,,,,,,Sayornis phoebe,easpho,Species,17007,,2,2,,,
571473281,Audio,Eastern Phoebe,Sayornis phoebe,,,Robin Toler,5/13/23,2023,5,13,737,United States,US-NC-081,North Carolina,Guilford,Summerfield Community Park,36.1988412,-79.9082422,,,Unspecified,FALSE,FALSE,,,,,,,S137557038,,,,,,Sayornis phoebe,easpho,Species,17007,,3.33,3,,,
570524131,Audio,Eastern Phoebe,Sayornis phoebe,,,Claudia Nielson,5/11/23,2023,5,11,648,United States,US-NC-067,North Carolina,Forsyth,Miller Park,36.0862513,-80.2836013,,,Unspecified,FALSE,FALSE,,,,,,,S137026848,,,,,,Sayornis phoebe,easpho,Species,17007,,3.33,3,,,
561586791,Audio,Eastern Phoebe,Sayornis phoebe,,,Robert Russo,3/1/23,2023,3,1,820,United States,US-NC-027,North Carolina,Caldwell,Willow Oaks Neighborhood,35.8031329,-81.4229071,,,Unspecified,FALSE,FALSE,,,,,,,S134708763,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
557332941,Audio,Eastern Phoebe,Sayornis phoebe,,,Jeffrey Blalock,4/13/23,2023,4,13,1355,United States,US-NC-145,North Carolina,Person,Mayo Park,36.4806217,-78.8762999,,,Unspecified,FALSE,FALSE,,,,,,,S133624786,,,,,,Sayornis phoebe,easpho,Species,17007,,4,3,,,
557332931,Audio,Eastern Phoebe,Sayornis phoebe,,,Jeffrey Blalock,4/13/23,2023,4,13,1355,United States,US-NC-145,North Carolina,Person,Mayo Park,36.4806217,-78.8762999,,,Unspecified,FALSE,FALSE,,,,,,,S133624786,,,,,,Sayornis phoebe,easpho,Species,17007,,4,3,,,
556508881,Audio,Eastern Phoebe,Sayornis phoebe,,,Kent Fiala,4/11/23,2023,4,11,859,United States,US-NC-037,North Carolina,Chatham,Old Bynum Bridge,35.77304,-79.1435458,,Song,Not Used,,,,,Tascam DR-100MkIII ,Wildtronics Amplified Pro Mono Parabolic Microphone,,,S133416631,,,,,,Sayornis phoebe,easpho,Species,17007,,5,2,,,
556508781,Audio,Eastern Phoebe,Sayornis phoebe,,,Kent Fiala,4/11/23,2023,4,11,859,United States,US-NC-037,North Carolina,Chatham,Old Bynum Bridge,35.77304,-79.1435458,,Song,Not Used,,,,,Tascam DR-100MkIII ,Wildtronics Amplified Pro Mono Parabolic Microphone,,,S133416631,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
551047261,Audio,Eastern Phoebe,Sayornis phoebe,,,Kent Fiala,3/29/23,2023,3,29,835,United States,US-NC-135,North Carolina,Orange,Brumley Nature Preserve--North,36.03391,-79.041909,,Song,Not Used,,,,,Tascam DR-100MkIII ,Sennheiser ME67/K6,,,S132129413,,,,Audacity noise reduction used,,Sayornis phoebe,easpho,Species,17007,,3.5,2,,,
549042681,Audio,Eastern Phoebe,Sayornis phoebe,Cardinalis cardinalis -- Northern Cardinal,,Kent Fiala,3/24/23,2023,3,24,933,United States,US-NC-135,North Carolina,Orange,Brumley Nature Preserve--North,36.03391,-79.041909,,Song,Not Used,,,,,Tascam DR-100MkIII ,Sennheiser ME67/K6,,,S131683057,,,,,,Sayornis phoebe,easpho,Species,17007,,3.5,2,,,
548506351,Audio,Eastern Phoebe,Sayornis phoebe,,,"""Chia"" Cory Chiappone ⚡️",3/18/23,2023,3,18,1033,United States,US-NC-173,North Carolina,Swain,Great Smoky Mountains NP--Oconaluftee,35.5148322,-83.3026743,,,Not Used,,,,,Samsung Galaxy S21 Ultra cellphone,,,,S131572604,,,,,,Sayornis phoebe,easpho,Species,17007,,3.5,2,,,
548165391,Audio,Eastern Phoebe,Sayornis phoebe,,,Trenton Voytko,3/21/23,2023,3,21,835,United States,US-NC-183,North Carolina,Wake,Bond Park,35.7824841,-78.8250375,,,Unspecified,FALSE,FALSE,,,,,,,S131449864,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
546129811,Audio,Eastern Phoebe,Sayornis phoebe,,,Jim McDaniel,3/16/23,2023,3,16,936,United States,US-NC-189,North Carolina,Watauga,Moses H. Cone Memorial Park--Bass Lake,36.1404394,-81.6820621,,,Unspecified,FALSE,FALSE,,,,,,,S131031176,,,,,,Sayornis phoebe,easpho,Species,17007,,2.5,2,,,
540877671,Audio,Eastern Phoebe,Sayornis phoebe,,,Denise Hargrove,3/1/23,2023,3,1,815,United States,US-NC-021,North Carolina,Buncombe,*25 Jazaka Ridge Ln,35.6209483,-82.4279147,,,Unspecified,FALSE,FALSE,,,,,,,S129936805,,,,,,Sayornis phoebe,easpho,Species,17007,,3,2,,,
